#1,MrBeast,846,364M,73.24B
#2,T-Series,22.72K,287M,286.03B
#3,Cocomelon - Nursery Rhymes,1.43K,190M,196.34B
#4,SET India,151.57K,182M,174.77B
#5,Vlad and Niki,859,134M,102.55B
#6,✿ Kids Diana Show,1.31K,131M,111.36B
#7,Like Nastya,926,125M,110.03B
#8,Zee Music Company,13.58K,114M,74.59B
#9,Stokes Twins,346,114M,18.66B
#10,PewDiePie,4.81K,110M,29.49B
#11,WWE,82.42K,107M,91.78B
#12,Goldmines,9.9K,103M,29.42B
#13,Sony SAB,96.26K,99.4M,125.8B
#14,BLACKPINK,605,95.9M,37.88B
#15,ChuChu TV Nursery Rhymes & Kids Songs,869,95.1M,53.98B
#16,Zee TV,199.87K,87.9M,100.02B
#17,김프로KIMPRO,2.98K,87.2M,54.95B
#18,5-Minute Crafts,7.5K,81.1M,28.01B
#19,Baby Shark - Pinkfong Kids’ Songs & Stories,3.46K,80.4M,48.48B
#20,Alan Chikin Chow,1.38K,80.1M,51.44B
#21,BANGTANTV,2.7K,79.8M,24.41B
#22,Colors TV,212.14K,78.8M,77.99B
#23,HYBE LABELS,2.3K,76.6M,38.1B
#24,A4,980,75.1M,32.11B
#25,Justin Bieber,249,74.8M,33.98B
#26,T-Series Bhakti Sagar,29.51K,74M,38.27B
#27,ZAMZAM ELECTRONICS TRADING,19.67K,73.9M,35.43B
#28,UR · Cristiano,95,73.8M,795.93M
#29,Tips Official,7.25K,72.8M,44.7B
#30,Toys and Colors,1.45K,72M,87.7B
#31,Shemaroo Filmi Gaane,9.17K,71M,31.58B
#32,Aaj Tak,433.86K,70.1M,37.08B
#33,Infobells - Hindi,750,68.4M,41.04B
#34,El Reino Infantil,1.72K,67.9M,65.39B
#35,KL BRO Biju Rithvik,2.99K,67.8M,59.89B
#36,Canal KondZilla,3.16K,67.6M,39.12B
#37,HAR PAL GEO,159.08K,64.9M,66.94B
#38,Wave Music,20.56K,64.5M,44.59B
#39,Mark Rober,196,64.4M,10.27B
#40,Fede Vigevani,1.47K,64.3M,19.12B
#41,EminemMusic,197,64.1M,32.92B
#42,YRF,4.41K,64M,46.11B
#43,Sony Music India,6.29K,63.9M,33.72B
#44,Movieclips,42.07K,63.5M,64.92B
#45,ARY Digital HD,161.58K,61.2M,61.34B
#46,Dude Perfect,471,60.8M,18.26B
#47,Taylor Swift,285,60.7M,38.42B
#48,Alejo Igoa,1.17K,60.5M,21.49B
#49,LooLoo Kids - Nursery Rhymes and Children's Songs,960,59.8M,36.97B
#50,YOLO AVENTURAS,2.75K,59.7M,21.19B
#51,PANDA BOI,1.17K,58.1M,25.93B
#52,Topper Guild,1.11K,58M,22.08B
#53,Marshmello,514,57.7M,16.55B
#54,Billion Surprise Toys,1.29K,57.7M,12.51B
#55,Shemaroo,13.24K,57.3M,26.02B
